,Title,Size,Area,Link,Filename,Src,is_Abstract,is_Animals,is_Architecture,is_Art-For-Kids,is_Astronomy-Space,is_Book-Illustration,is_Botanical,is_Comics,is_Conde-Nast-Magazines,is_Costume-Fashion,is_Cuisine,is_Dance,is_Disney,is_Education,is_Fantasy,is_Figurative,is_Geodes-And-Minerals,is_Geometrics-Art,is_Hobbies,is_Holidays,is_Home-Hearth,is_Humor,is_Japandi,is_Maps,is_Maximalist-Art,is_Motivational,is_Movies,is_Museums,is_Music,is_People,is_Places,is_Religion-Spirituality,is_Scenic,is_Performing-Arts,is_Publications,is_Seasons,is_Sports,is_Still-Life,is_Television,is_The-New-Yorker,is_Transportation,is_Typography-Symbols,is_World-Culture,num_colors,dom_color,warm_cool,complexity,brightness,sharpness
35000,Twist and Shout,"(16, 16)",256,/products/p44021209016-sa-i10216542/clayton-rabo-twist-and-shout.htm?upi=Q113LJ60&PODConfigID=8880742&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5374.jpg,https://imgc.artprintimages.com/img/print/clayton-rabo-twist-and-shout_u-l-q113lj60.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,White,3,1,192.15416386083052,9029.79039584963
35001,Luft Balloons II,"(16, 16)",256,/products/p44021214406-sa-i10216281/karolina-susslandova-luft-balloons-ii.htm?upi=Q113NCZ0&PODConfigID=8880742&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5375.jpg,https://imgc.artprintimages.com/img/print/karolina-susslandova-luft-balloons-ii_u-l-q113ncz0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,31,213.95197986577182,9694.83465832057
35002,Luft Balloons I,"(16, 16)",256,/products/p44021214393-sa-i10216280/karolina-susslandova-luft-balloons-i.htm?upi=Q113MY50&PODConfigID=8880742&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5376.jpg,https://imgc.artprintimages.com/img/print/karolina-susslandova-luft-balloons-i_u-l-q113my50.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,29,222.60858416945374,11876.305111212401
35003,Arteries and Veins,"(12, 18)",216,/products/p46469562494-sa-i10204098/encyclopaedia-britannica-arteries-and-veins.htm?upi=Q135IW40&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5377.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-arteries-and-veins_u-l-q135iw40.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,93,230.57016666666667,43135.416344000005
35004,"Femur - Anterior View. Skeletal System, Human Anatomy","(12, 18)",216,/products/p46469560839-sa-i10204097/encyclopaedia-britannica-femur-anterior-view-skeletal-system-human-anatomy.htm?upi=Q135IY20&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5378.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-femur-anterior-view-skeletal-system-human-anatomy_u-l-q135iy20.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,White,2,14,169.56311666666667,9815.456539437502
35005,Atherosclerosis,"(18, 12)",216,/products/p46469717735-sa-i10204087/encyclopaedia-britannica-atherosclerosis.htm?upi=Q135LJZ0&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5379.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-atherosclerosis_u-l-q135ljz0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,3,2,206.96758333333332,34942.26569375
35006,"Scleral Buckle. Eye, Ophthalmology, Health and Disease","(18, 12)",216,/products/p46469717729-sa-i10204084/encyclopaedia-britannica-scleral-buckle-eye-ophthalmology-health-and-disease.htm?upi=Q135LJL0&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5380.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-scleral-buckle-eye-ophthalmology-health-and-disease_u-l-q135ljl0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,White,3,7,208.79511666666667,20791.7437319375
35007,"Farsighted Eye (Hyperopia). Convex Lens, Ophthalmology, Health and Disease","(18, 12)",216,/products/p46469705889-sa-i10204080/encyclopaedia-britannica-farsighted-eye-hyperopia-convex-lens-ophthalmology-health-and-disease.htm?upi=Q135LHV0&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5381.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-farsighted-eye-hyperopia-convex-lens-ophthalmology-health-and-disease_u-l-q135lhv0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,White,3,4,206.50381666666667,20232.5278649375
35008,Asthma Attack,"(16, 12)",192,/products/p46469705698-sa-i10204078/encyclopaedia-britannica-asthma-attack.htm?upi=Q135LG80&PODConfigID=9201947&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5382.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-asthma-attack_u-l-q135lg80.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,36,207.67635555555555,26399.17701906173
35009,"Steps Involved in the Engineering of a Recombinant Dna Molecule. Genetic Engineering, Genetics","(12, 18)",216,/products/p46469688217-sa-i10204069/encyclopaedia-britannica-steps-involved-in-the-engineering-of-a-recombinant-dna-molecule-genetic-engineering-genetics.htm?upi=Q135KMI0&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5383.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-steps-involved-in-the-engineering-of-a-recombinant-dna-molecule-genetic-engineering-genetics_u-l-q135kmi0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,White,3,1,231.16008333333335,35709.555275
35010,The Increase in Hominid Cranial Capacity over Time. Evolution,"(16, 12)",192,/products/p46469555820-sa-i10203906/encyclopaedia-britannica-the-increase-in-hominid-cranial-capacity-over-time-evolution.htm?upi=Q135HQS0&PODConfigID=9201947&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5384.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-the-increase-in-hominid-cranial-capacity-over-time-evolution_u-l-q135hqs0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,3,216.07715555555555,28662.006987209872
35011,"The geologic time scale from 700,000,000 years ago to the present","(12, 18)",216,/products/p46469495503-sa-i10203904/encyclopaedia-britannica-the-geologic-time-scale-from-700-000-000-years-ago-to-the-present.htm?upi=Q135JLU0&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5385.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-the-geologic-time-scale-from-700-000-000-years-ago-to-the-present_u-l-q135jlu0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,White,2,53,210.98905,47985.189429750004
35012,"Homologies of the Forelimb Among Vertebrates, Giving Evidence for Evolution.","(12, 18)",216,/products/p46469553925-sa-i10203899/encyclopaedia-britannica-homologies-of-the-forelimb-among-vertebrates-giving-evidence-for-evolution.htm?upi=Q135HGT0&PODConfigID=9436090&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5386.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-homologies-of-the-forelimb-among-vertebrates-giving-evidence-for-evolution_u-l-q135hgt0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,1,227.90236666666667,18629.42775975
35013,"Water Cycle, Atmosphere, Earth Sciences","(16, 12)",192,/products/p46469518795-sa-i10203877/encyclopaedia-britannica-water-cycle-atmosphere-earth-sciences.htm?upi=Q135JZE0&PODConfigID=9201947&sOrigID=1846,D:/query_data/art_images/Art-For-Kids/Art-For-Kids_img_5387.jpg,https://imgc.artprintimages.com/img/print/encyclopaedia-britannica-water-cycle-atmosphere-earth-sciences_u-l-q135jze0.jpg?src=gp&w=300&h=300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,White,2,9,215.58644444444445,21179.846609580247
