,Title,Size,Area,Link,Filename,Src,is_Abstract,is_Animals,is_Architecture,is_Art-For-Kids,is_Astronomy-Space,is_Book-Illustration,is_Botanical,is_Comics,is_Conde-Nast-Magazines,is_Costume-Fashion,is_Cuisine,is_Dance,is_Disney,is_Education,is_Fantasy,is_Figurative,is_Geodes-And-Minerals,is_Geometrics-Art,is_Hobbies,is_Holidays,is_Home-Hearth,is_Humor,is_Japandi,is_Maps,is_Maximalist-Art,is_Motivational,is_Movies,is_Museums,is_Music,is_People,is_Places,is_Religion-Spirituality,is_Scenic,is_Performing-Arts,is_Publications,is_Seasons,is_Sports,is_Still-Life,is_Television,is_The-New-Yorker,is_Transportation,is_Typography-Symbols,is_World-Culture,num_colors,dom_color,warm_cool,complexity,brightness,sharpness
49000,The Sunflowers,"(16, 16)",256,/products/p22967344027-sa-i7888956/balaikin2009-the-sunflowers.htm?upi=PN1XVE0&PODConfigID=4986570&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7730.jpg,https://imgc.artprintimages.com/img/print/balaikin2009-the-sunflowers_u-l-pn1xve0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sky,3,94,121.62347826086956,35059.311352361634
49001,Aura,"(12, 38)",456,/products/p22819047414-sa-i7850349/don-li-leger-aura.htm?upi=F655MCO1ZLN&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7731.jpg,https://imgc.artprintimages.com/img/print/don-li-leger-aura_u-l-f655mco1zln.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,White,3,17,111.55184466019418,24248.406138891503
49002,Colors of Fall,"(16, 12)",192,/products/p22248102077-sa-i7794627/william-mason-brown-colors-of-fall.htm?upi=PMQ1GK0&PODConfigID=8880730&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7732.jpg,https://imgc.artprintimages.com/img/print/william-mason-brown-colors-of-fall_u-l-pmq1gk0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,White,2,43,121.78108877721942,19136.07758459382
49003,"Detail of Handscroll with Miscellaneous Images, Edo Period, 1839","(24, 8)",192,/products/p22114084928-sa-i7641839/katsushika-hokusai-detail-of-handscroll-with-miscellaneous-images-edo-period-1839.htm?upi=PLND2M0&PODConfigID=8880720&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7733.jpg,https://imgc.artprintimages.com/img/print/katsushika-hokusai-detail-of-handscroll-with-miscellaneous-images-edo-period-1839_u-l-plnd2m0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Olive,3,1,171.29824915824915,11579.698574380162
49004,Water-Lilies,"(12, 16)",192,/products/p22113095282-sa-i7629142/claude-monet-water-lilies.htm?upi=PLI6SY0&PODConfigID=8880730&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7734.jpg,https://imgc.artprintimages.com/img/print/claude-monet-water-lilies_u-l-pli6sy0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Teal,2,146,106.86134814814815,32777.1936728395
49005,"Bird of Paradise, 2007","(12, 18)",216,/products/p21298184720-sa-i7367280/catherine-abel-bird-of-paradise-2007.htm?upi=PJFP4T0&PODConfigID=9436042&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7735.jpg,https://imgc.artprintimages.com/img/print/catherine-abel-bird-of-paradise-2007_u-l-pjfp4t0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Olive,2,80,68.7591185897436,33560.798068602075
49006,Flowers,"(12, 16)",192,/products/p21297367644-sa-i7364996/samuel-john-peploe-flowers.htm?upi=PJDJIN0&PODConfigID=8880730&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7736.jpg,https://imgc.artprintimages.com/img/print/samuel-john-peploe-flowers_u-l-pjdjin0.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,White,3,4,130.06140740740742,18683.435766666666
49007,Glam II,"(24, 37)",888,/products/p19825305253-sa-i7229617/stacey-d-aguiar-glam-ii.htm?upi=F5RZ6EO1ZLN&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7737.jpg,https://imgc.artprintimages.com/img/print/stacey-d-aguiar-glam-ii_u-l-f5rz6eo1zln.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,12,181.91746598639455,21931.54429794877
49008,Savannah Sidewalk Sepia I,"(12, 18)",216,/products/p19347955546-sa-i7201653/alan-hausenflock-savannah-sidewalk-sepia-i.htm?upi=Q10PT270&PODConfigID=14258383&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7738.jpg,https://imgc.artprintimages.com/img/print/alan-hausenflock-savannah-sidewalk-sepia-i_u-l-q10pt270.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,White,2,107,135.39755,67244.51884399998
49009,Bicycle of Love I,"(12, 9)",108,/products/p19037055412-sa-i7168276/assaf-frank-bicycle-of-love-i.htm?upi=F5Q0M80&sOrigID=12134,D:/query_data/art_images/Botanical/Botanical_img_7739.jpg,https://imgc.artprintimages.com/img/print/assaf-frank-bicycle-of-love-i_u-l-f5q0m80.jpg?src=gp&w=300&h=300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Black,3,180,110.31144444444445,66042.82156141492
